,,,,,,,,,,,,,,
,"Solid Waste Generated, Recycled, Diverted, and Disposed (Tons Reported), Recycling-Diversion Rate, and Per Capita Information in Washington State1",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Agricultural Organics2, -   , -   , -   , -   , -   , -   , -   , -   ," 31,800 "," 45,431 "," 55,689 "," 76,645 "," 102,733 "," 97,270 "
Aluminum Cans," 17,945 "," 12,540 "," 12,718 "," 17,608 "," 16,010 "," 15,441 "," 14,951 "," 14,005 "," 12,842 "," 21,098 "," 13,655 "," 13,115 "," 13,635 "," 16,677 "
Anti-freeze," 2,475 "," 4,157 "," 4,506 "," 4,722 "," 8,050 "," 8,767 "," 7,507 "," 7,055 "," 6,586 "," 5,194 "," 4,783 "," 4,872 "," 6,797 "," 4,804 "
Appliances/White Goods," 35,427 "," 39,180 "," 43,833 "," 53,353 "," 56,920 "," 47,302 "," 49,796 "," 44,667 "," 43,401 "," 39,777 "," 48,881 "," 44,174 "," 54,578 "," 31,192 "
"Ash, Sand & Dust used in Asphalt Production"," 10,000 "," 12,333 ", 290 ," 10,576 "," 40,409 "," 14,588 "," 4,008 "," 2,521 ", -   , 344 ," 20,364 ", -   , -   , -   
Asphalt/Concrete," 893,218 "," 1,116,871 "," 1,451,959 "," 1,600,288 "," 2,002,171 "," 1,783,418 "," 2,295,278 "," 2,089,972 "," 1,510,051 "," 2,186,429 "," 2,188,200 "," 2,211,889 "," 1,887,580 "," 2,155,091 "
Batteries - Auto Lead Acid," 10,757 "," 16,297 "," 12,158 "," 18,780 "," 25,518 "," 28,903 "," 25,414 "," 25,734 "," 25,219 "," 21,493 "," 26,986 "," 27,297 "," 23,356 "," 20,641 "
Cardboard," 495,470 "," 491,230 "," 417,534 "," 430,750 "," 535,662 "," 565,698 "," 570,802 "," 555,757 "," 569,688 "," 491,266 "," 471,477 "," 542,333 "," 520,585 "," 499,777 "
Carpet & Pad, 97 , 820 , 148 , 258 , 304 , 186 , 897 ," 1,193 "," 3,297 "," 3,317 "," 3,867 "," 3,653 "," 2,420 "," 4,341 "
Cartons, 98 , 69 , 26 ," 1,789 ", 8 ," 4,529 "," 5,755 "," 5,787 "," 5,475 "," 5,526 "," 2,763 ", 705 ," 6,139 "," 7,407 "
Construction & Demolition Debris," 376,684 "," 131,922 "," 131,701 "," 143,844 "," 166,325 "," 521,087 "," 300,820 "," 302,089 "," 339,066 "," 302,836 "," 269,603 "," 271,716 "," 399,209 "," 343,523 "
Container Glass," 84,062 "," 81,632 "," 64,937 "," 74,126 "," 81,405 "," 82,773 "," 90,992 "," 96,934 "," 94,077 "," 100,823 "," 109,916 "," 96,145 "," 121,163 "," 103,790 "
Container Glass (used as aggregate),,,,,,,,,,," 3,212 "," 19,966 "," 20,116 ", 123 
Electronics, 255 , 317 ," 1,414 "," 3,587 "," 6,568 "," 8,534 "," 11,386 "," 12,325 "," 17,265 "," 22,190 "," 25,569 "," 31,148 "," 38,237 "," 51,412 "
Fats and Oils3, -   , -   , -   , -   , -   , -   ," 97,786 "," 116,964 "," 124,289 "," 92,345 "," 91,050 "," 128,511 "," 86,864 "," 124,761 "
Ferrous Metals," 357,220 "," 254,104 "," 432,778 "," 709,881 "," 866,641 "," 974,535 "," 1,048,885 "," 1,009,826 "," 1,013,552 "," 998,721 "," 1,332,254 "," 1,458,201 "," 1,370,692 "," 1,349,761 "
Fluorescent light bulbs, 160 , 346 , 417 , 772 , 732 , 729 ,"1,063 ",979 ,"1,600 ","1,229 "," 1,087 "," 1,096 "," 1,398 "," 1,286 "
Food (recovered),,,,,,,,,,, 402 , 429 ," 3,684 ", 889 
Food Processing Waste (pre-consumer), -   , -   , -   ," 3,774 "," 3,185 "," 38,823 "," 25,369 ", -   ," 3,494 "," 14,027 "," 27,762 "," 59,220 "," 102,035 "," 126,074 "
Food Scraps (post-consumer)," 73,895 "," 193,024 "," 70,904 "," 100,755 "," 126,257 "," 125,390 "," 73,958 "," 50,304 "," 48,664 "," 77,699 "," 62,041 "," 129,229 "," 65,727 "," 103,534 "
Gypsum," 36,692 "," 29,883 "," 51,089 "," 76,946 "," 35,648 "," 56,618 "," 62,482 "," 52,767 "," 86,603 "," 38,662 "," 30,882 "," 39,902 "," 86,902 "," 110,228 "
HDPE Plastics," 5,491 "," 4,841 "," 6,029 "," 8,485 "," 7,991 "," 9,319 "," 8,000 "," 11,348 "," 7,742 "," 13,876 "," 18,824 "," 12,475 "," 16,864 "," 16,494 "
High Grade Paper," 59,976 "," 58,538 "," 62,312 "," 59,502 "," 70,210 "," 58,661 "," 71,774 "," 82,806 "," 57,929 "," 47,266 "," 76,667 "," 66,664 "," 39,072 "," 52,034 "
Household Batteries, 39 , 38 , 333 , 143 , 149 , 294 ," 1,350 "," 1,755 "," 2,270 ", 535 , 458 , 465 , 402 , 819 
Industrial Batteries, 738 , -   , 5 , 30 , 29 , -   , -   , -   , -   , 99 , 1 ," 1,620 "," 1,582 "," 1,806 "
Industrial Organics4, -   , -   , -   ," 13,767 ", 213 , -   , -   , -   ," 45,586 "," 85,692 "," 83,681 "," 46,544 "," 57,063 "," 51,244 "
Industrial Paper,,,,,,,,,,," 6,476 "," 3,686 ", -   , -   
Landclearing Debris, -   ," 151,464 "," 286,201 "," 160,158 "," 268,486 "," 475,015 "," 258,563 "," 168,007 "," 169,428 "," 162,939 "," 150,287 "," 160,086 "," 171,962 "," 144,765 "
Landclearing Debris for ER5, -   , -   , -   , -   , -   , -   ," 208,010 "," 136,205 "," 141,406 "," 78,018 "," 130,766 "," 100,289 "," 106,486 "," 82,964 "
LDPE Plastics," 4,032 "," 6,603 "," 9,775 "," 17,925 "," 10,604 "," 16,209 "," 14,928 "," 13,695 "," 14,040 "," 15,407 "," 16,772 "," 27,024 "," 23,375 "," 19,328 "
Mattresses, -   , 16 , 77 , -   , -   , -   , -   , -   , -   , -   , -   ," 1,213 ", 852 , 668 
Miscellaneous, 374 , -   , -   , 40 , 5 , 139 , 2 , -   , -   , 13 , 57 , 510 , 589 , 613 
Mixed Paper," 273,494 "," 231,302 "," 206,051 "," 219,111 "," 230,934 "," 322,732 "," 316,874 "," 361,043 "," 367,834 "," 274,982 "," 287,814 "," 280,055 "," 293,424 "," 299,908 "
Mixed Plastics,,,,,,,,,,,,,," 7,827 "
Newspaper," 219,716 "," 176,392 "," 187,585 "," 215,882 "," 261,306 "," 259,157 "," 294,887 "," 289,250 "," 282,981 "," 267,524 "," 233,924 "," 275,025 "," 170,088 "," 225,109 "
Nonferrous Metals," 51,273 "," 41,615 "," 61,240 "," 114,604 "," 99,317 "," 122,490 "," 135,976 "," 115,718 "," 94,340 "," 142,931 "," 123,680 "," 146,164 "," 121,711 "," 175,781 "
Oil Filters, 835 ," 5,942 "," 5,023 "," 1,750 "," 3,719 "," 2,721 "," 2,189 "," 2,635 "," 2,639 "," 2,535 "," 1,775 "," 2,229 "," 3,544 "," 1,781 "
Other Fuels (Reuse & ER)6, -   , -   ," 121,349 ", 2 , 115 , 16 , 1 , 0 , -   , -   , 5 , 175 , -   , -   
