X,Y,FID,SWID,NAME,LADDR,LADDR2,LCITY,LSTATE,LZIP,LZIP4,COUNTRY,TYPE,PHONE,CONAME,COFIPS,LAT,LON,METHOD,REG_ID,NAICS_CODE,NAICS_DESC,STATUS_DAT,URL,LastVer
-158.1246119,21.34831976,1,150001,WAIMANALO GULCH SANITARY LANDFILL,92-460 FARRINGTON HIGHWAY, ,KAPOLEI,HI,96707, ,US,MUNICIPAL, ,HONOLULU,15003,21.34832,-158.124612,IMAGERY,1.10014E+11,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",2012-06-19T00:00:00.000Z,http://hawaii.gov/health/environmental/waste/sw/index.html,2013-02-20T00:00:00.000Z
-155.8818319,19.89336157,2,150002,WEST HAWAII LANDFILL / PUU ANAHULU,71-111 QUEEN KAAHUMANU HWY, ,WAIKOLOA,HI,96738, ,US,BOTH, ,HAWAII,15001,19.893362,-155.881832,IMAGERY,1.10034E+11,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",2012-06-19T00:00:00.000Z,http://hawaii.gov/health/environmental/waste/sw/index.html,2013-02-19T00:00:00.000Z
-156.4235771,20.8587965,3,150003,CENTRAL MAUI LANDFILL REFUSE & RECYCLING CENTER,PULEHU ROAD, ,PUUNENE,HI,96784, ,US,MUNICIPAL, ,MAUI,15009,20.858796,-156.423577,IMAGERY,1.10025E+11,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",2012-06-19T00:00:00.000Z,http://hawaii.gov/health/environmental/waste/sw/index.html,2013-02-19T00:00:00.000Z
-110.8897269,32.11883347,4,40001,CITY OF TUCSON - LOS REALES LANDFILL,5400 E. LOS REALES, ,TUCSON,AZ,85706, ,US,BOTH,5207915414,PIMA,4019,32.118833,-110.889727,IMAGERY,1.10016E+11,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",2012-08-06T00:00:00.000Z,http://www.azdeq.gov/environ/waste/index.html,2013-02-14T00:00:00.000Z
-114.1972017,33.94254947,5,40002,LA PAZ COUNTY - MAIN LANDFILL,26999 HIGHWAY 95, ,PARKER,AZ,85346, ,US,BOTH,9288559441,LA PAZ,4012,33.942549,-114.197202,IMAGERY,1.10013E+11,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",2012-08-06T00:00:00.000Z,http://www.azdeq.gov/environ/waste/index.html,2013-02-14T00:00:00.000Z
-114.6158044,32.54517542,6,40003,SOUTH YUMA COUNTY LANDFILL,19536 S AVENUE 1 E, ,YUMA,AZ,85365, ,US,BOTH,9283419300,YUMA,4027,32.545175,-114.615804,IMAGERY,1.10037E+11,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",2012-08-06T00:00:00.000Z,http://www.azdeq.gov/environ/waste/index.html,2013-02-15T00:00:00.000Z
-114.0398622,32.6489753,7,40004,COPPER MOUNTAIN LANDFILL,34853 EAST COUNTY 12, ,WELLTON,AZ,85356, ,US,BOTH,9287853797,YUMA,4027,32.648975,-114.039862,IMAGERY,1.10013E+11,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",2012-08-06T00:00:00.000Z,http://www.azdeq.gov/environ/waste/index.html,2013-02-15T00:00:00.000Z
-112.0488796,34.51932361,8,40005,GRAY WOLF REGIONAL LANDFILL,23355 EAST HIGHWAY 169, ,DEWEY,AZ,86327, ,US,BOTH,9286320224,YAVAPAI,4025,34.519324,-112.04888,IMAGERY,1.10013E+11,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",2012-08-06T00:00:00.000Z,http://www.azdeq.gov/environ/waste/index.html,2013-02-14T00:00:00.000Z
-112.2549066,34.49953882,9,40006,IRON KING LANDFILL,11910 E IRON KING RD, ,HUMBOLDT,AZ,86327, ,US,BOTH, ,YAVAPAI,4025,34.499539,-112.254907,IMAGERY,1.10016E+11,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",2012-08-06T00:00:00.000Z,http://www.azdeq.gov/environ/waste/index.html,2013-02-14T00:00:00.000Z
-111.5210189,35.3049026,10,40007,CITY OF FLAGSTAFF - CINDER LAKE LANDFILL,6770 LANDFILL RD., ,FLAGSTAFF,AZ,86001, ,US,BOTH,9285271927,COCONINO,4005,35.304903,-111.521019,IMAGERY,1.10013E+11,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",2012-08-06T00:00:00.000Z,http://www.azdeq.gov/environ/waste/index.html,2013-02-15T00:00:00.000Z
